duration_hr,return_period_yr,intensity_mm_hr,depth_mm
1,2,43.71804219667007,43.71804219667007
1,5,62.72121202136971,62.72121202136971
1,10,80.89538214332609,80.89538214332609
1,25,113.0929014349195,113.0929014349195
1,50,146.11516654737562,146.11516654737562
1,100,189.3577734127547,189.3577734127547
3,2,20.906344588445318,62.71903376533595
3,5,30.18820087207327,90.56460261621982
3,10,39.14952397415792,117.44857192247377
3,25,55.166899760216324,165.50069928064897
3,50,71.73267718214869,215.1980315464461
3,100,93.58273193200841,280.74819579602524
6,2,11.981917957543677,71.89150774526206
6,5,17.528574679355025,105.17144807613015
6,10,23.105143896047633,138.6308633762858
6,25,33.45957083952967,200.757425037178
6,50,44.55975461413404,267.35852768480424
6,100,59.66142363150408,357.96854178902447
12,2,6.629723245182432,79.55667894218918
12,5,9.600489297875331,115.20587157450397
12,10,12.639768653394304,151.67722384073164
12,25,18.376473297916466,220.5176795749976
12,50,24.622037269333052,295.46444723199664
12,100,33.233215638875855,398.79858766651023
24,2,3.6343804415301304,87.22513059672313
24,5,5.232303428460605,125.57528228305452
24,10,6.846348486330598,164.31236367193435
24,25,9.856451736615083,236.554841678762
24,50,13.096703873417681,314.32089296202435
24,100,17.520787884072348,420.49890921773635
48,2,2.2779225480084224,109.34028230440427
48,5,3.3377384987154475,160.21144793834148
48,10,4.304854416225912,206.6330119788438
48,25,5.944685140381702,285.3448867383217
48,50,7.5581553974958995,362.7914590798032
48,100,9.596804443540053,460.6466132899226
72,2,1.6918225730944265,121.81122526279871
72,5,2.461024114304302,177.19373622990975
72,10,3.1396278226794276,226.0532032329188
72,25,4.254647450992205,306.3346164714387
72,50,5.319484934267578,383.0029152672656
72,100,6.630840704361761,477.4205307140468
