scale,n_valid,mean_mm,variance,std_mm,cv,prob_dry
1h,288400,0.11186234396671291,1.7093814740517665,1.3074331623650084,11.68787561571268,0.954611650485437
3h,96106,0.3322248350779348,7.699611463355327,2.7748173747753793,8.352227412873724,0.9194223045387385
6h,48028,0.6645852419422004,19.27166912440959,4.389950925057089,6.6055498196556215,0.8768426751061881
12h,24006,1.329301008081313,44.09985043411438,6.640771825180743,4.995687045153079,0.8128801133050071
1D,11974,2.579614164022048,75.6324625254688,8.696692619925622,3.3713152692439987,0.6979288458326374
7D,1706,18.272626025791325,1024.2902590236977,32.00453497590143,1.7515016687107743,0.35345838218053927
15D,795,39.145911949685534,2861.419564501053,53.492238357551024,1.366483387238619,0.2339622641509434
