q,K_q,intercept,r2
1,0.21836187497810644,4.04612809020435,0.9767522423084604
2,0.4379413374528469,8.426746952403853,0.9711931275397948
3,0.6706857274203722,13.21785281795038,0.9622762606867205
4,0.9213778624066611,18.29713967949865,0.9558871157065371
5,1.1806759646220124,23.510284710315503,0.9528183309384309
